candidateId,snapshotUTC,itemId,item,sourcePortId,sourcePort,sourceNation,destinationPortId,destinationPort,destinationNation,weight,sourceQty,destinationQty,buyPrice,sellPrice,sourceTax,destinationTax,sourceX,sourceY,destinationX,destinationY,mapDistance,confidence
14,2026-08-14T20:06:11.965878Z,866,Sulphur,156,Fort-Royal,France,14,Nassau,Verenigde Provinciën,0.33,923979,215,3,4,0.05,0.05,-770600.017224253,139800.003124774,-32400.0007241964,-351000.007845462,886467.0976009587,B_RESET_SNAPSHOT
15,2026-08-14T20:06:11.965878Z,866,Sulphur,156,Fort-Royal,France,23,Pitt's Town,Neutral,0.33,923979,524,3,5,0.05,0.05,-770600.017224253,139800.003124774,-162200.003625453,-250400.005596876,722777.0218770072,B_RESET_SNAPSHOT
16,2026-08-14T20:06:11.965878Z,866,Sulphur,170,La Blanquilla,France,14,Nassau,Verenigde Provinciën,0.33,530697,215,3,4,0.05,0.05,-608600.01360327,268000.005990267,-32400.0007241964,-351000.007845462,845675.74871843,B_RESET_SNAPSHOT
17,2026-08-14T20:06:11.965878Z,866,Sulphur,170,La Blanquilla,France,23,Pitt's Town,Neutral,0.33,530697,524,3,5,0.05,0.05,-608600.01360327,268000.005990267,-162200.003625453,-250400.005596876,684113.6900557867,B_RESET_SNAPSHOT
18,2026-08-14T20:06:11.965878Z,866,Sulphur,197,Mitara,España,14,Nassau,Verenigde Provinciën,0.33,1200000,215,3,4,0.05,0.05,-363200.008118153,288200.006441772,-32400.0007241964,-351000.007845462,719725.8527777379,B_RESET_SNAPSHOT
19,2026-08-14T20:06:11.965878Z,866,Sulphur,197,Mitara,España,23,Pitt's Town,Neutral,0.33,1200000,524,3,5,0.05,0.05,-363200.008118153,288200.006441772,-162200.003625453,-250400.005596876,574883.4445121004,B_RESET_SNAPSHOT
20,2026-08-14T20:06:11.965878Z,866,Sulphur,209,Río de la Hacha,France,14,Nassau,Verenigde Provinciën,0.33,1200000,215,3,4,0.05,0.05,-231000.005163252,286600.006406009,-32400.0007241964,-351000.007845462,667814.1507460508,B_RESET_SNAPSHOT
21,2026-08-14T20:06:11.965878Z,866,Sulphur,209,Río de la Hacha,France,23,Pitt's Town,Neutral,0.33,1200000,524,3,5,0.05,0.05,-231000.005163252,286600.006406009,-162200.003625453,-250400.005596876,541389.3729126013,B_RESET_SNAPSHOT
22,2026-08-14T20:06:11.965878Z,866,Sulphur,214,Dariena,Verenigde Provinciën,14,Nassau,Verenigde Provinciën,0.33,1200000,215,3,4,0.05,0.05,-45200.0010102988,458000.010237098,-32400.0007241964,-351000.007845462,809101.2725641375,B_RESET_SNAPSHOT
23,2026-08-14T20:06:11.965878Z,866,Sulphur,214,Dariena,Verenigde Provinciën,23,Pitt's Town,Neutral,0.33,1200000,524,3,5,0.05,0.05,-45200.0010102988,458000.010237098,-162200.003625453,-250400.005596876,717996.9241198187,B_RESET_SNAPSHOT
24,2026-08-14T20:06:11.965878Z,866,Sulphur,237,Brangman's Bluff,Pirates,23,Pitt's Town,Neutral,0.33,1200000,524,4,5,0.05,0.05,247000.00552088,175000.003911555,-162200.003625453,-250400.005596876,590262.4971782742,B_RESET_SNAPSHOT
25,2026-08-14T20:06:11.965878Z,866,Sulphur,253,Belize,Great Britain,23,Pitt's Town,Neutral,0.33,989963,524,4,5,0.05,0.05,472800.010567904,13800.000308454,-162200.003625453,-250400.005596876,687769.3371661316,B_RESET_SNAPSHOT
26,2026-08-14T20:06:11.965878Z,866,Sulphur,266,Selam,España,14,Nassau,Verenigde Provinciën,0.33,1196770,215,3,4,0.05,0.05,490200.010956824,-175000.003911555,-32400.0007241964,-351000.007845462,551440.6346958283,B_RESET_SNAPSHOT
27,2026-08-14T20:06:11.965878Z,866,Sulphur,266,Selam,España,23,Pitt's Town,Neutral,0.33,1196770,524,3,5,0.05,0.05,490200.010956824,-175000.003911555,-162200.003625453,-250400.005596876,656742.6735648459,B_RESET_SNAPSHOT
28,2026-08-14T20:06:11.965878Z,866,Sulphur,311,Gasparilla,España,23,Pitt's Town,Neutral,0.33,1200000,524,4,5,0.05,0.05,180400.004032254,-431800.009651482,-162200.003625453,-250400.005596876,387660.5818471514,B_RESET_SNAPSHOT
29,2026-08-14T20:06:11.965878Z,866,Sulphur,335,Wilmington,España,14,Nassau,Verenigde Provinciën,0.33,1200000,215,3,4,0.05,0.05,-11600.0002592802,-790600.017671287,-32400.0007241964,-351000.007845462,440091.81844043167,B_RESET_SNAPSHOT
30,2026-08-14T20:06:11.965878Z,866,Sulphur,335,Wilmington,España,23,Pitt's Town,Neutral,0.33,1200000,524,3,5,0.05,0.05,-11600.0002592802,-790600.017671287,-162200.003625453,-250400.005596876,560799.7985547828,B_RESET_SNAPSHOT
31,2026-08-14T20:06:11.965878Z,864,Saltpeter,46,Nuevitas,Pirates,14,Nassau,Verenigde Provinciën,0.33,996140,283,3,4,0.05,0.05,-33400.0007465482,-188200.004206598,-32400.0007241964,-351000.007845462,162803.07486303456,B_RESET_SNAPSHOT
32,2026-08-14T20:06:11.965878Z,864,Saltpeter,55,Manzanillo,Great Britain,14,Nassau,Verenigde Provinciën,0.33,1200000,283,3,4,0.05,0.05,-37400.0008359552,-138200.003089011,-32400.0007241964,-351000.007845462,212858.73725422492,B_RESET_SNAPSHOT
33,2026-08-14T20:06:11.965878Z,864,Saltpeter,59,Trinidad,Great Britain,14,Nassau,Verenigde Provinciën,0.33,1200000,283,3,4,0.05,0.05,86200.0019267202,-201200.004497171,-32400.0007241964,-351000.007845462,191065.4380884869,B_RESET_SNAPSHOT
34,2026-08-14T20:06:11.965878Z,864,Saltpeter,82,Sale-Trou,Pirates,14,Nassau,Verenigde Provinciën,0.33,1200000,283,3,4,0.05,0.05,-271200.006061792,-29800.0006660819,-32400.0007241964,-351000.007845462,400243.53481507924,B_RESET_SNAPSHOT
35,2026-08-14T20:06:11.965878Z,864,Saltpeter,103,Bahía Escocesa,España,14,Nassau,Verenigde Provinciën,0.33,1200000,283,3,4,0.05,0.05,-365200.008162856,-88200.0019714237,-32400.0007241964,-351000.007845462,424051.5157838331,B_RESET_SNAPSHOT
36,2026-08-14T20:06:11.965878Z,864,Saltpeter,231,Great Corn,Verenigde Provinciën,14,Nassau,Verenigde Provinciën,0.33,1200000,283,3,4,0.05,0.05,231000.005163252,263600.005891919,-32400.0007241964,-351000.007845462,668664.8936406762,B_RESET_SNAPSHOT
37,2026-08-14T20:06:11.965878Z,864,Saltpeter,274,Espíritu Santo,España,14,Nassau,Verenigde Provinciën,0.33,1200000,283,3,4,0.05,0.05,693800.015507639,-9400.00021010638,-32400.0007241964,-351000.007845462,802531.6372527585,B_RESET_SNAPSHOT
38,2026-08-14T20:06:11.965878Z,864,Saltpeter,343,Tumbado,Verenigde Provinciën,14,Nassau,Verenigde Provinciën,0.33,1200000,283,3,4,0.05,0.05,387200.008654595,-207200.004631281,-32400.0007241964,-351000.007845462,443556.7706563392,B_RESET_SNAPSHOT
39,2026-08-14T20:06:11.965878Z,864,Saltpeter,360,Water Bay,Neutral,14,Nassau,Verenigde Provinciën,0.33,1200000,283,3,4,0.05,0.05,9200.00020563603,-421800.009427965,-32400.0007241964,-351000.007845462,82116.99155134997,B_RESET_SNAPSHOT
40,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,42,La Anguila,España,23,Pitt's Town,Neutral,0.33,2400000,1442,4,6,0.05,0.05,46600.0010415912,-278800.006231666,-162200.003625453,-250400.005596876,210722.5711332646,B_RESET_SNAPSHOT
41,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,46,Nuevitas,Pirates,23,Pitt's Town,Neutral,0.33,2395917,1442,5,6,0.05,0.05,-33400.0007465482,-188200.004206598,-162200.003625453,-250400.005596876,143032.4470690356,B_RESET_SNAPSHOT
42,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,66,Corrientes,Great Britain,23,Pitt's Town,Neutral,0.33,1496352,1442,4,6,0.05,0.05,283800.006343424,-210200.004698336,-162200.003625453,-250400.005596876,447808.0492403871,B_RESET_SNAPSHOT
43,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,85,La Navasse,Great Britain,23,Pitt's Town,Neutral,0.33,2373556,1442,4,6,0.05,0.05,-125800.002811849,-43600.000974536,-162200.003625453,-250400.005596876,209979.05126709715,B_RESET_SNAPSHOT
44,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,103,Bahía Escocesa,España,23,Pitt's Town,Neutral,0.33,2400006,1442,3,6,0.05,0.05,-365200.008162856,-88200.0019714237,-162200.003625453,-250400.005596876,259841.95777103122,B_RESET_SNAPSHOT
45,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,113,Aguadilla,Pirates,23,Pitt's Town,Neutral,0.33,2400000,1442,5,6,0.05,0.05,-482000.01077354,-56600.0012651086,-162200.003625453,-250400.005596876,373939.1477913346,B_RESET_SNAPSHOT
46,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,131,Marigot,Pirates,23,Pitt's Town,Neutral,0.33,2400386,1442,4,6,0.05,0.05,-678200.015158952,-23800.0005319715,-162200.003625453,-250400.005596876,563563.2832237972,B_RESET_SNAPSHOT
47,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,150,Aves,Verenigde Provinciën,23,Pitt's Town,Neutral,0.33,2400000,1442,5,6,0.05,0.05,-652400.014582277,96400.002154708,-162200.003625453,-250400.005596876,600471.727992725,B_RESET_SNAPSHOT
48,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,191,Píritu,France,23,Pitt's Town,Neutral,0.33,2400000,1442,5,6,0.05,0.05,-590400.013196469,356400.007966161,-162200.003625453,-250400.005596876,742671.8687662272,B_RESET_SNAPSHOT
49,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,204,Maracaibo,España,23,Pitt's Town,Neutral,0.33,2400401,1442,3,6,0.05,0.05,-286800.00641048,330400.007385016,-162200.003625453,-250400.005596876,594014.9962532887,B_RESET_SNAPSHOT
50,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,208,Cabo de la Vela,France,23,Pitt's Town,Neutral,0.33,2400000,1442,5,6,0.05,0.05,-262600.005869568,255600.005713105,-162200.003625453,-250400.005596876,515864.48985786876,B_RESET_SNAPSHOT
51,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,223,Concepción,España,23,Pitt's Town,Neutral,0.33,2400000,1442,4,6,0.05,0.05,160600.00358969,420600.009401143,-162200.003625453,-250400.005596876,744607.8597392308,B_RESET_SNAPSHOT
52,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,231,Great Corn,Verenigde Provinciën,23,Pitt's Town,Neutral,0.33,2400002,1442,5,6,0.05,0.05,231000.005163252,263600.005891919,-162200.003625453,-250400.005596876,647149.3326288138,B_RESET_SNAPSHOT
53,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,258,Chinchorro,España,23,Pitt's Town,Neutral,0.33,2400000,1442,5,6,0.05,0.05,409800.009159744,-62800.0014036894,-162200.003625453,-250400.005596876,601978.2190408132,B_RESET_SNAPSHOT
54,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,274,Espíritu Santo,España,23,Pitt's Town,Neutral,0.33,2397185,1442,4,6,0.05,0.05,693800.015507639,-9400.00021010638,-162200.003625453,-250400.005596876,889278.9412508748,B_RESET_SNAPSHOT
55,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,309,Tampa,España,23,Pitt's Town,Neutral,0.33,2400000,1442,5,6,0.05,0.05,189400.00423342,-487400.010894239,-162200.003625453,-250400.005596876,424018.3581371326,B_RESET_SNAPSHOT
56,2026-08-14T20:06:11.965878Z,30,Lignum Vitae Log,326,San Agustín,España,23,Pitt's Town,Neutral,0.33,2366633,1442,4,6,0.05,0.05,137000.003062189,-588000.013142825,-162200.003625453,-250400.005596876,451103.5458704684,B_RESET_SNAPSHOT
57,2026-08-14T20:06:11.965878Z,607,Tobacco,5,Road Rocks,Neutral,23,Pitt's Town,Neutral,0.33,2400000,853,2,3,0.05,0.05,-6800.00015199185,-429800.009606779,-162200.003625453,-250400.005596876,237346.84012707006,B_RESET_SNAPSHOT
58,2026-08-14T20:06:11.965878Z,607,Tobacco,42,La Anguila,España,23,Pitt's Town,Neutral,0.33,2400000,853,2,3,0.05,0.05,46600.0010415912,-278800.006231666,-162200.003625453,-250400.005596876,210722.5711332646,B_RESET_SNAPSHOT
59,2026-08-14T20:06:11.965878Z,607,Tobacco,77,Port Antonio,España,23,Pitt's Town,Neutral,0.33,2400000,853,2,3,0.05,0.05,-55200.0012338162,-32400.0007241964,-162200.003625453,-250400.005596876,242843.57647732543,B_RESET_SNAPSHOT
60,2026-08-14T20:06:11.965878Z,607,Tobacco,137,Basseterre Town,Pirates,23,Pitt's Town,Neutral,0.33,2400000,853,2,3,0.05,0.05,-693400.015498698,13400.0002995133,-162200.003625453,-250400.005596876,593096.8687533856,B_RESET_SNAPSHOT
61,2026-08-14T20:06:11.965878Z,607,Tobacco,198,Casigua,España,23,Pitt's Town,Neutral,0.33,2400000,853,2,3,0.05,0.05,-315600.00705421,308000.006884337,-162200.003625453,-250400.005596876,579087.3293303536,B_RESET_SNAPSHOT
62,2026-08-14T20:06:11.965878Z,39,Oak Log,173,Fort Oranje,France,14,Nassau,Verenigde Provinciën,0.33,4800000,1371,2,3,0.05,0.05,-439600.009825826,259000.005789101,-32400.0007241964,-351000.007845462,733424.750091333,B_RESET_SNAPSHOT
63,2026-08-14T20:06:11.965878Z,39,Oak Log,173,Fort Oranje,France,23,Pitt's Town,Neutral,0.33,4800000,5858,2,3,0.05,0.05,-439600.009825826,259000.005789101,-162200.003625453,-250400.005596876,580033.7361223056,B_RESET_SNAPSHOT
64,2026-08-14T20:06:11.965878Z,39,Oak Log,240,Gracias a Dios,Great Britain,14,Nassau,Verenigde Provinciën,0.33,4800000,1371,2,3,0.05,0.05,236800.005292893,128200.002865493,-32400.0007241964,-351000.007845462,549637.4200370462,B_RESET_SNAPSHOT
65,2026-08-14T20:06:11.965878Z,39,Oak Log,240,Gracias a Dios,Great Britain,23,Pitt's Town,Neutral,0.33,4800000,5858,2,3,0.05,0.05,236800.005292893,128200.002865493,-162200.003625453,-250400.005596876,550035.4293357348,B_RESET_SNAPSHOT
66,2026-08-14T20:06:11.965878Z,39,Oak Log,364,William's Bay,Neutral,14,Nassau,Verenigde Provinciën,0.33,4800000,1371,2,3,0.05,0.05,4400.00009834767,-345400.007720292,-32400.0007241964,-351000.007845462,37223.64922923528,B_RESET_SNAPSHOT
67,2026-08-14T20:06:11.965878Z,39,Oak Log,364,William's Bay,Neutral,23,Pitt's Town,Neutral,0.33,4800000,5858,2,3,0.05,0.05,4400.00009834767,-345400.007720292,-162200.003625453,-250400.005596876,191782.58952318755,B_RESET_SNAPSHOT
68,2026-08-14T20:06:11.965878Z,28,Hemp,9,Marsh Harbour,Neutral,23,Pitt's Town,Neutral,0.33,3600000,5000,2,7,0.05,0.05,-49200.0010997057,-434000.009700656,-162200.003625453,-250400.005596876,215587.48126393362,B_RESET_SNAPSHOT
69,2026-08-14T20:06:11.965878Z,28,Hemp,10,Bimini,España,23,Pitt's Town,Neutral,0.33,3600000,5000,2,7,0.05,0.05,45800.0010237098,-375800.008399785,-162200.003625453,-250400.005596876,242876.84664665203,B_RESET_SNAPSHOT
70,2026-08-14T20:06:11.965878Z,28,Hemp,15,Harbour Island,Neutral,23,Pitt's Town,Neutral,0.33,141,5000,4,7,0.05,0.05,-58600.0013098121,-371600.008305907,-162200.003625453,-250400.005596876,159444.0376322361,B_RESET_SNAPSHOT
71,2026-08-14T20:06:11.965878Z,28,Hemp,17,Arthur's Town,Neutral,23,Pitt's Town,Neutral,0.33,186,5000,4,7,0.05,0.05,-104000.002324581,-328600.007344783,-162200.003625453,-250400.005596876,97480.66692834103,B_RESET_SNAPSHOT
72,2026-08-14T20:06:11.965878Z,28,Hemp,35,Baja,España,23,Pitt's Town,Neutral,0.33,3599997,5000,3,7,0.05,0.05,261400.005842745,-246000.005498529,-162200.003625453,-250400.005596876,423622.86059928697,B_RESET_SNAPSHOT
73,2026-08-14T20:06:11.965878Z,28,Hemp,49,Puerto de Nipe,France,23,Pitt's Town,Neutral,0.33,3523506,5000,4,7,0.05,0.05,-95800.0021412969,-153000.003419817,-162200.003625453,-250400.005596876,117880.11121977716,B_RESET_SNAPSHOT
74,2026-08-14T20:06:11.965878Z,28,Hemp,50,Baracoa,España,23,Pitt's Town,Neutral,0.33,241,5000,4,7,0.05,0.05,-150800.003370643,-135800.003035367,-162200.003625453,-250400.005596876,115165.62244397213,B_RESET_SNAPSHOT
75,2026-08-14T20:06:11.965878Z,28,Hemp,68,Santa Fe,Great Britain,23,Pitt's Town,Neutral,0.33,3600000,5000,4,7,0.05,0.05,181000.004045665,-208800.004667044,-162200.003625453,-250400.005596876,345712.0266100349,B_RESET_SNAPSHOT
76,2026-08-14T20:06:11.965878Z,28,Hemp,79,Kingston / Port Royal,Great Britain,23,Pitt's Town,Neutral,0.33,3452748,5000,3,7,0.05,0.05,-42400.0009477139,-22600.0005051494,-162200.003625453,-250400.005596876,257380.81311818285,B_RESET_SNAPSHOT
77,2026-08-14T20:06:11.965878Z,28,Hemp,85,La Navasse,Great Britain,23,Pitt's Town,Neutral,0.33,305,5000,4,7,0.05,0.05,-125800.002811849,-43600.000974536,-162200.003625453,-250400.005596876,209979.05126709715,B_RESET_SNAPSHOT
78,2026-08-14T20:06:11.965878Z,28,Hemp,97,Cap-Français,France,23,Pitt's Town,Neutral,0.33,3600000,5000,3,7,0.05,0.05,-257000.005744398,-106200.002373755,-162200.003625453,-250400.005596876,172570.80092327346,B_RESET_SNAPSHOT
79,2026-08-14T20:06:11.965878Z,28,Hemp,105,Macao,Pirates,23,Pitt's Town,Neutral,0.33,3600000,5000,2,7,0.05,0.05,-424600.00949055,-60000.0013411045,-162200.003625453,-250400.005596876,324200.43907835893,B_RESET_SNAPSHOT
80,2026-08-14T20:06:11.965878Z,28,Hemp,131,Marigot,Pirates,23,Pitt's Town,Neutral,0.33,127,5000,4,7,0.05,0.05,-678200.015158952,-23800.0005319715,-162200.003625453,-250400.005596876,563563.2832237972,B_RESET_SNAPSHOT
81,2026-08-14T20:06:11.965878Z,28,Hemp,135,Fort Baai,Pirates,23,Pitt's Town,Neutral,0.33,1165135,5000,3,7,0.05,0.05,-662400.014805794,-7600.00016987324,-162200.003625453,-250400.005596876,556014.292820037,B_RESET_SNAPSHOT
82,2026-08-14T20:06:11.965878Z,28,Hemp,154,La Trinité,France,23,Pitt's Town,Neutral,0.33,527,5000,4,7,0.05,0.05,-776000.017344952,131600.002941489,-162200.003625453,-250400.005596876,722962.2835012682,B_RESET_SNAPSHOT
83,2026-08-14T20:06:11.965878Z,28,Hemp,165,Scarborough,España,23,Pitt's Town,Neutral,0.33,3600000,5000,3,7,0.05,0.05,-790000.017657876,303800.006790459,-162200.003625453,-250400.005596876,837418.9580784715,B_RESET_SNAPSHOT
84,2026-08-14T20:06:11.965878Z,28,Hemp,169,Puerto de España,France,23,Pitt's Town,Neutral,0.33,2035125,5000,3,7,0.05,0.05,-752600.016821921,328400.007340312,-162200.003625453,-250400.005596876,826789.9555258752,B_RESET_SNAPSHOT
85,2026-08-14T20:06:11.965878Z,28,Hemp,179,Guayaguayare,Verenigde Provinciën,23,Pitt's Town,Neutral,0.33,3600000,5000,4,7,0.05,0.05,-776800.017362833,352400.007876754,-162200.003625453,-250400.005596876,860872.2513415078,B_RESET_SNAPSHOT
86,2026-08-14T20:06:11.965878Z,28,Hemp,197,Mitara,España,23,Pitt's Town,Neutral,0.33,3600000,5000,4,7,0.05,0.05,-363200.008118153,288200.006441772,-162200.003625453,-250400.005596876,574883.4445121004,B_RESET_SNAPSHOT
87,2026-08-14T20:06:11.965878Z,28,Hemp,214,Dariena,Verenigde Provinciën,23,Pitt's Town,Neutral,0.33,3605746,5000,4,7,0.05,0.05,-45200.0010102988,458000.010237098,-162200.003625453,-250400.005596876,717996.9241198187,B_RESET_SNAPSHOT
88,2026-08-14T20:06:11.965878Z,28,Hemp,216,Canalete,France,23,Pitt's Town,Neutral,0.33,3539987,5000,3,7,0.05,0.05,-70400.0015735627,415200.009280443,-162200.003625453,-250400.005596876,671900.7517345209,B_RESET_SNAPSHOT
89,2026-08-14T20:06:11.965878Z,28,Hemp,218,Playón,France,23,Pitt's Town,Neutral,0.33,721,5000,4,7,0.05,0.05,12400.0002771616,396000.00885129,-162200.003625453,-250400.005596876,669565.6353498007,B_RESET_SNAPSHOT
90,2026-08-14T20:06:11.965878Z,28,Hemp,227,Matina,France,23,Pitt's Town,Neutral,0.33,3579567,5000,3,7,0.05,0.05,237400.005306304,357600.007992983,-162200.003625453,-250400.005596876,727560.4329975133,B_RESET_SNAPSHOT
91,2026-08-14T20:06:11.965878Z,28,Hemp,230,Bluefields,Pirates,23,Pitt's Town,Neutral,0.33,29,5000,4,7,0.05,0.05,262800.005874038,269400.006021559,-162200.003625453,-250400.005596876,671429.1177429622,B_RESET_SNAPSHOT
92,2026-08-14T20:06:11.965878Z,28,Hemp,235,Old Providence,Pirates,23,Pitt's Town,Neutral,0.33,740,5000,4,7,0.05,0.05,153000.003419817,203800.004555285,-162200.003625453,-250400.005596876,552855.0385621546,B_RESET_SNAPSHOT
93,2026-08-14T20:06:11.965878Z,28,Hemp,237,Brangman's Bluff,Pirates,23,Pitt's Town,Neutral,0.33,270,5000,4,7,0.05,0.05,247000.00552088,175000.003911555,-162200.003625453,-250400.005596876,590262.4971782742,B_RESET_SNAPSHOT
94,2026-08-14T20:06:11.965878Z,28,Hemp,241,Croata,Great Britain,23,Pitt's Town,Neutral,0.33,3601000,5000,3,7,0.05,0.05,269000.006012619,115400.002579391,-162200.003625453,-250400.005596876,565458.3046464438,B_RESET_SNAPSHOT
95,2026-08-14T20:06:11.965878Z,28,Hemp,244,Truxillo,Great Britain,23,Pitt's Town,Neutral,0.33,72,5000,4,7,0.05,0.05,372000.008314848,87000.0019446016,-162200.003625453,-250400.005596876,631829.4214786194,B_RESET_SNAPSHOT
96,2026-08-14T20:06:11.965878Z,28,Hemp,254,Turneffe,Pirates,23,Pitt's Town,Neutral,0.33,3579617,5000,3,7,0.05,0.05,426400.009530783,13000.0002905727,-162200.003625453,-250400.005596876,644848.461724946,B_RESET_SNAPSHOT
97,2026-08-14T20:06:11.965878Z,28,Hemp,256,Salamanca,Great Britain,23,Pitt's Town,Neutral,0.33,440,5000,4,7,0.05,0.05,477600.010675192,-48200.001077354,-162200.003625453,-250400.005596876,670990.9836404661,B_RESET_SNAPSHOT
98,2026-08-14T20:06:11.965878Z,28,Hemp,264,Conil,España,23,Pitt's Town,Neutral,0.33,853,5000,4,7,0.05,0.05,419800.009383261,-179400.004009903,-162200.003625453,-250400.005596876,586314.7749865198,B_RESET_SNAPSHOT
99,2026-08-14T20:06:11.965878Z,28,Hemp,273,Victoria,España,23,Pitt's Town,Neutral,0.33,3600000,5000,4,7,0.05,0.05,643400.014381111,-33200.0007420778,-162200.003625453,-250400.005596876,834366.3650466147,B_RESET_SNAPSHOT
100,2026-08-14T20:06:11.965878Z,28,Hemp,296,Saint-Malo,España,23,Pitt's Town,Neutral,0.33,33179,5000,4,7,0.05,0.05,482000.01077354,-580600.012977422,-162200.003625453,-250400.005596876,723896.1965819239,B_RESET_SNAPSHOT
101,2026-08-14T20:06:11.965878Z,28,Hemp,301,Penzacola,España,23,Pitt's Town,Neutral,0.33,3600655,5000,3,7,0.05,0.05,385400.008614361,-607200.013571978,-162200.003625453,-250400.005596876,653583.9801403316,B_RESET_SNAPSHOT
102,2026-08-14T20:06:11.965878Z,28,Hemp,303,San José,España,23,Pitt's Town,Neutral,0.33,20618,5000,4,7,0.05,0.05,308800.006902218,-582800.013026595,-162200.003625453,-250400.005596876,576481.3742492843,B_RESET_SNAPSHOT
